epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4957,3.39439,4.31788,4.30945,0.00238,0.37374,0.00287,0.00196,3.34097,3.77488,4.15857,0.00013336,0.00013336,0.00013336
2,23.2366,3.49902,4.13167,4.21885,0.00114,0.37795,0.00241,0.00128,3.34256,3.77733,4.15598,0.000274038,0.000274038,0.000274038
3,29.5843,3.42122,3.99757,4.13083,0.00108,0.35522,0.00273,0.00144,3.34938,3.78053,4.15913,0.000404814,0.000404814,0.000404814
4,34.0828,3.2924,3.87772,4.04403,0.00114,0.37795,0.00202,0.00091,3.35835,3.52111,4.17682,0.000525688,0.000525688,0.000525688
5,38.1004,3.23851,3.7319,3.94684,0.00126,0.37795,0.00241,0.00092,3.3607,3.62878,4.20225,0.000636661,0.000636661,0.000636661
6,42.1715,3.07406,3.6483,3.77819,0.0007,0.10522,0.00088,0.00015,3.52803,3.73285,4.42923,0.000737731,0.000737731,0.000737731
7,47.6549,2.95695,3.4833,3.65465,0.00134,0.44613,0.00367,0.00146,3.45125,3.7298,4.31622,0.000828899,0.000828899,0.000828899
8,53.4234,2.88723,3.36232,3.55394,0.00173,0.44613,0.00311,0.00129,3.45555,3.79623,4.27547,0.000910165,0.000910165,0.000910165
9,57.4022,2.72661,3.24902,3.46347,0.00291,0.35522,0.0032,0.00142,3.4071,3.75763,4.29609,0.00098153,0.00098153,0.00098153
10,61.8148,2.76307,3.23083,3.41352,0.0026,0.48316,0.00299,0.00131,3.14696,3.71574,4.09368,0.00104299,0.00104299,0.00104299
11,67.4107,2.60658,3.1659,3.35291,0.51762,0.02273,0.01295,0.00396,2.85036,3.5934,3.89962,0.00109455,0.00109455,0.00109455
12,72.0789,2.66936,3.09933,3.32919,0.09301,0.37374,0.04608,0.0172,3.55272,40.751,29.4832,0.00106188,0.00106188,0.00106188
13,76.0325,2.60103,3.13453,3.23032,0.54019,0.09342,0.06054,0.02122,3.25162,5.58114,12.8041,0.00100687,0.00100687,0.00100687
14,80.4542,2.60365,3.0372,3.18566,0.57275,0.11111,0.10781,0.03228,2.76286,3.354,8.92599,0.000951857,0.000951857,0.000951857
15,86.5873,2.49228,3.02579,3.11293,0.32845,0.25078,0.17913,0.06282,2.29914,2.9278,3.95622,0.000896846,0.000896846,0.000896846
16,90.9909,2.45868,2.88351,3.10254,0.1836,0.39815,0.19042,0.05979,2.4489,3.61635,4.27033,0.000841835,0.000841835,0.000841835
17,94.8339,2.44787,2.89566,3.05575,0.19612,0.25589,0.14575,0.04634,2.4616,3.00999,3.63477,0.000786824,0.000786824,0.000786824
18,99.4469,2.42778,2.86785,2.97489,0.20098,0.22643,0.20926,0.06881,2.43676,2.94567,3.3314,0.000731813,0.000731813,0.000731813
19,105.283,2.37547,2.80524,3.0484,0.32979,0.45118,0.31777,0.13992,2.19049,2.59429,3.20951,0.000676802,0.000676802,0.000676802
20,109.379,2.42458,2.6307,2.95068,0.52061,0.35859,0.41697,0.14982,2.02625,2.60052,3.07745,0.000621791,0.000621791,0.000621791
21,115.541,2.12074,2.83587,2.84365,0.38595,0.24579,0.33989,0.12585,1.9932,2.67214,2.98953,0.00056678,0.00056678,0.00056678
22,122.043,2.02968,2.7189,2.76985,0.60355,0.367,0.40537,0.16833,2.01722,2.58391,2.95889,0.000511769,0.000511769,0.000511769
23,126.455,1.94833,2.61179,2.80221,0.19341,0.52946,0.31395,0.1254,1.96132,3.16638,2.88419,0.000456758,0.000456758,0.000456758
24,130.199,1.9728,2.5138,2.73175,0.29246,0.39983,0.36792,0.15182,1.93313,2.76589,2.77694,0.000401747,0.000401747,0.000401747
25,134.569,1.90965,2.38028,2.72065,0.37508,0.5404,0.42695,0.19583,1.89356,2.33652,2.74224,0.000346736,0.000346736,0.000346736
26,140.471,1.93193,2.32949,2.64876,0.49877,0.56481,0.55579,0.27039,1.82415,1.91509,2.67509,0.000291725,0.000291725,0.000291725
27,144.581,1.89547,2.33829,2.62137,0.52582,0.51836,0.5421,0.29797,1.739,1.89288,2.59872,0.000236714,0.000236714,0.000236714
28,148.559,1.83713,2.23175,2.63996,0.62029,0.59182,0.62503,0.31152,1.69552,1.83205,2.54885,0.000181703,0.000181703,0.000181703
29,153.31,1.82357,2.1829,2.60779,0.6359,0.51646,0.65369,0.31562,1.72837,1.81935,2.54954,0.000126692,0.000126692,0.000126692
30,159.704,1.82703,2.13892,2.56941,0.47011,0.54209,0.57386,0.28025,1.73526,1.81825,2.53868,7.1681e-05,7.1681e-05,7.1681e-05
