epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2132,3.43012,4.27404,4.33622,0.00191,0.35522,0.00347,0.0019,3.34167,3.78064,4.15908,0.00013336,0.00013336,0.00013336
2,62.4921,3.54703,4.95425,4.22759,0.00114,0.37795,0.00216,0.00106,3.34237,3.78012,4.15889,0.00028152,0.00028152,0.00028152
3,86.9891,3.395,4.01347,4.08489,0.0013,0.44613,0.00236,0.00104,3.35134,3.54359,4.16584,0.000427699,0.000427699,0.000427699
4,106.302,3.28762,3.88264,3.94234,0.0018,0.37795,0.00256,0.00115,3.36799,3.77289,4.2,0.000571898,0.000571898,0.000571898
5,123.232,3.12854,3.67073,3.75788,0.00091,0.03704,0.00053,0.00017,3.40102,4.24784,4.28916,0.000714116,0.000714116,0.000714116
6,138.918,2.9908,3.65634,3.63142,0.00224,0.08249,0.00141,0.00048,3.48819,4.59435,4.37177,0.000854354,0.000854354,0.000854354
7,160.254,2.84273,3.59219,3.5308,0.09004,0.22747,0.06053,0.01168,3.20931,22.2394,3.89479,0.000992612,0.000992612,0.000992612
8,194.916,2.88957,3.35992,3.43022,0.00078,0.13805,0.00069,0.00038,nan,nan,nan,0.00112889,0.00112889,0.00112889
9,212.194,2.72417,3.37042,3.3771,0.00161,0.32997,0.00116,0.00042,3.28489,inf,38.5904,0.00126319,0.00126319,0.00126319
10,238.644,2.72963,3.3435,3.27293,0.00186,0.35859,0.00144,0.00042,3.47402,inf,114.524,0.0013955,0.0013955,0.0013955
11,254.642,2.62875,3.26857,3.22664,0.00186,0.35859,0.00144,0.00042,4.69069,inf,561.748,0.00152584,0.00152584,0.00152584
12,271.299,2.65053,3.15187,3.18415,0.00047,0.18519,0.00033,0.00015,4.50022,inf,313.299,0.00154598,0.00154598,0.00154598
13,297.229,2.678,3.17631,3.13389,0.50046,0.14815,0.00104,0.00035,3.75736,inf,84.7365,0.00153497,0.00153497,0.00153497
14,313.728,2.61158,3.03355,3.10475,0.0003,0.12963,0.00019,6e-05,3.84903,inf,94.5275,0.00152397,0.00152397,0.00152397
15,338.768,2.55548,3.02096,3.02775,0.00014,0.05556,8e-05,4e-05,3.89759,335.717,15.8265,0.00151297,0.00151297,0.00151297
16,357.876,2.49731,2.83718,3.00734,0.01399,0.42677,0.01395,0.00398,2.89483,inf,7.49661,0.00150197,0.00150197,0.00150197
17,373.831,2.56996,3.06341,3.0769,0.01225,0.25589,0.00548,0.00113,3.40028,142.202,10.3885,0.00149096,0.00149096,0.00149096
18,391.394,2.5042,2.9995,2.94355,0.02063,0.13805,0.0089,0.00238,3.06458,inf,9.37869,0.00147996,0.00147996,0.00147996
19,407,2.48247,2.94719,3.02808,0.10556,0.23485,0.0435,0.01742,2.53344,9.52829,3.59617,0.00146896,0.00146896,0.00146896
20,429.805,2.40034,2.74771,2.86346,0.0691,0.1835,0.04321,0.01519,2.3624,10.8782,3.36013,0.00145796,0.00145796,0.00145796
21,448.854,2.39967,2.74775,2.93303,0.13426,0.05556,0.03459,0.01252,2.82367,4.53459,4.15697,0.00144696,0.00144696,0.00144696
22,474.3,2.43547,2.80956,2.8855,0.05496,0.03704,0.00836,0.00324,2.99959,5.29576,8.22908,0.00143595,0.00143595,0.00143595
23,490.797,2.33398,2.74013,2.84584,0.049,0.20034,0.02292,0.0058,2.9429,4.98141,5.30538,0.00142495,0.00142495,0.00142495
24,506.648,2.34479,2.61996,2.8219,0.59063,0.16667,0.0557,0.01759,2.69613,3.4419,3.39282,0.00141395,0.00141395,0.00141395
25,526.468,2.27125,2.65922,2.69304,0.58333,0.14815,0.07771,0.03174,2.48221,3.9298,3.07886,0.00140295,0.00140295,0.00140295
26,556.491,2.34568,2.69941,2.75033,0.22981,0.11111,0.10889,0.03876,2.46118,4.20086,3.28744,0.00139195,0.00139195,0.00139195
27,575.737,2.19072,2.70544,2.75414,0.01746,0.13384,0.0104,0.00344,2.9474,24.6446,4.77812,0.00138094,0.00138094,0.00138094
28,595.067,2.25236,2.7448,2.76201,0.42059,0.27189,0.25336,0.10472,2.02018,2.7226,2.69843,0.00136994,0.00136994,0.00136994
29,628.528,2.22932,2.59643,2.69526,0.27874,0.41246,0.28551,0.10691,2.09363,3.99641,2.84193,0.00135894,0.00135894,0.00135894
30,650.204,2.2691,2.67656,2.674,0.37286,0.23483,0.24501,0.09155,2.09584,3.25875,2.71791,0.00134794,0.00134794,0.00134794
31,666.844,2.15899,2.57976,2.6332,0.2572,0.42117,0.28759,0.12976,1.82444,2.77536,2.44254,0.00133693,0.00133693,0.00133693
32,687.744,2.14998,2.57685,2.64237,0.18967,0.33727,0.19442,0.08076,2.13788,3.35706,2.72584,0.00132593,0.00132593,0.00132593
33,708.803,2.20472,2.53395,2.58848,0.26351,0.39983,0.25389,0.12428,2.2614,3.23839,2.89163,0.00131493,0.00131493,0.00131493
34,734.471,2.15228,2.47479,2.62212,0.29388,0.40825,0.2624,0.11075,2.17432,2.89332,2.82889,0.00130393,0.00130393,0.00130393
35,754.68,2.24309,2.51893,2.69162,0.408,0.34259,0.26618,0.1344,2.02,4.44894,2.77528,0.00129293,0.00129293,0.00129293
36,775.792,2.2399,2.59998,2.65725,0.19153,0.45118,0.17073,0.06661,2.00887,5.65952,2.71234,0.00128192,0.00128192,0.00128192
37,797.367,2.16403,2.46644,2.56449,0.22603,0.32576,0.15743,0.06223,2.33234,4.50486,3.01679,0.00127092,0.00127092,0.00127092
38,813.072,2.11374,2.48863,2.54099,0.21439,0.37121,0.14692,0.05417,2.72552,7.21802,3.54164,0.00125992,0.00125992,0.00125992
39,843.452,2.08285,2.47744,2.53752,0.09796,0.42268,0.08044,0.02346,2.60958,5.24539,3.58066,0.00124892,0.00124892,0.00124892
40,867.488,2.09496,2.4322,2.53061,0.19894,0.49487,0.24708,0.09508,2.22569,3.02135,2.76632,0.00123791,0.00123791,0.00123791
41,895.293,2.11376,2.3966,2.55382,0.2696,0.35859,0.23911,0.12303,2.066,2.77745,2.63188,0.00122691,0.00122691,0.00122691
